testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -259.935, 160.141, 7.428, 2.682, -5.006, 2.293, 0.002, 5.506, 2.900, 818.036, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -365.819, 208.542, 7.429, -0.456, 5.335, -2.519, -0.000, 5.900, 3.000, 818.136, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.000, 818.136, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -260.453, 160.385, 7.429, 2.688, -5.317, 2.484, -0.000, 5.869, 3.000, 818.136, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -365.294, 208.294, 7.429, -0.450, 5.185, -2.405, -0.000, 5.715, 3.100, 818.236, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.100, 818.236, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -260.988, 160.635, 7.429, 2.694, -5.358, 2.472, -0.000, 5.901, 3.100, 818.236, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -364.789, 208.060, 7.429, -0.445, 4.954, -2.270, -0.000, 5.449, 3.200, 818.336, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.200, 818.336, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -261.515, 160.879, 7.429, 2.699, -5.198, 2.382, -0.000, 5.718, 3.200, 818.336, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -364.309, 207.836, 7.430, -0.443, 4.675, -2.241, -0.000, 5.184, 3.300, 818.436, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.300, 818.436, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -262.018, 161.120, 7.429, 2.697, -4.899, 2.390, -0.000, 5.451, 3.300, 818.436, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -363.854, 207.615, 7.430, -0.446, 4.463, -2.197, -0.006, 4.975, 3.400, 818.536, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.400, 818.536, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -262.494, 161.353, 7.430, 2.693, -4.647, 2.304, -0.000, 5.187, 3.400, 818.536, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -363.414, 207.400, 7.429, -0.448, 4.360, -2.100, -0.001, 4.839, 3.500, 818.636, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.500, 818.636, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -262.948, 161.577, 7.430, 2.690, -4.454, 2.220, -0.006, 4.977, 3.500, 818.636, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -362.981, 207.193, 7.429, -0.447, 4.309, -2.048, 0.000, 4.771, 3.600, 818.736, 0.000
0, 0, 2, 34, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.429, -0.436, 0.000, 0.000, 0.000, 0.000, 3.600, 818.736, 0.000
0, 0, 3, 35, vehicle.mercedes-benz.coupe, 3, -263.386, 161.797, 7.429, 2.686, -4.303, 2.215, -0.001, 4.840, 3.600, 818.736, 0.000
0, 0, 1, 33, vehicle.mercedes-benz.coupe, 3, -362.551, 206.988, 7.429, -0.447, 4.283, -2.060, 0.000, 4.753, 3.700, 818.836, 0.000
