lanelet_id, bound, x, y, yaw
100, rightBound, -292.14166, -150.42989, 2.754137 
100, rightBound, -291.94973, -150.90021, 2.753989 
100, rightBound, -291.75738, -151.37136, 2.750613 
100, rightBound, -291.55731, -151.85673, 2.745267 
100, rightBound, -291.35465, -152.34102, 2.739897 
100, rightBound, -291.14939, -152.82422, 2.734555 
100, rightBound, -290.94155, -153.30632, 2.729190 
100, rightBound, -290.73113, -153.78729, 2.723850 
100, rightBound, -290.51814, -154.26714, 2.718496 
100, rightBound, -290.30259, -154.74583, 2.713133 
100, rightBound, -290.08447, -155.22337, 2.707799 
100, rightBound, -289.86381, -155.69973, 2.702421 
100, rightBound, -289.64059, -156.17490, 2.697070 
100, rightBound, -289.41483, -156.64887, 2.691728 
100, rightBound, -289.18654, -157.12163, 2.686379 
100, rightBound, -288.95573, -157.59315, 2.681012 
100, rightBound, -288.72239, -158.06343, 2.675654 
100, rightBound, -288.48653, -158.53246, 2.670312 
100, rightBound, -288.24817, -159.00022, 2.664963 
100, rightBound, -288.00731, -159.46670, 2.662051 
100, rightBound, -287.77337, -159.91656, 2.662052 
100, rightBound, -287.53980, -160.36571, 2.662052 
100, rightBound, -287.30623, -160.81486, 2.662052 
100, rightBound, -287.07266, -161.26401, 2.662035 
100, rightBound, -286.83908, -161.71316, 2.662052 
100, rightBound, -286.60551, -162.16231, 2.662052 
100, rightBound, -286.37194, -162.61146, 2.662052 
100, rightBound, -286.13837, -163.06061, 2.662052 
105, leftBound, -283.03315, -161.44580, -0.479540 
105, leftBound, -283.26672, -160.99665, -0.479540 
105, leftBound, -283.50029, -160.54750, -0.479540 
105, leftBound, -283.73386, -160.09835, -0.479558 
105, leftBound, -283.96744, -159.64920, -0.479540 
105, leftBound, -284.20101, -159.20005, -0.479540 
105, leftBound, -284.43458, -158.75090, -0.479540 
105, leftBound, -284.66815, -158.30175, -0.479540 
105, leftBound, -284.90172, -157.85260, -0.476642 
105, leftBound, -285.13399, -157.40277, -0.471280 
105, leftBound, -285.36384, -156.95171, -0.465918 
105, leftBound, -285.59127, -156.49942, -0.460591 
105, leftBound, -285.81629, -156.04592, -0.455211 
105, leftBound, -286.03886, -155.59123, -0.449884 
105, leftBound, -286.25901, -155.13535, -0.444513 
105, leftBound, -286.47671, -154.67829, -0.439149 
105, leftBound, -286.69195, -154.22008, -0.433820 
105, leftBound, -286.90475, -153.76072, -0.428455 
105, leftBound, -287.11508, -153.30023, -0.423098 
105, leftBound, -287.32294, -152.83862, -0.417749 
105, leftBound, -287.52833, -152.37590, -0.412380 
105, leftBound, -287.73123, -151.91209, -0.407063 
105, leftBound, -287.93166, -151.44721, -0.401683 
105, leftBound, -288.12959, -150.98125, -0.396327 
105, leftBound, -288.32502, -150.51424, -0.390979 
105, leftBound, -288.51795, -150.04619, -0.387593 
105, leftBound, -288.70929, -149.57750, -0.387454 
105, leftBound, -288.90057, -149.10877, -0.386390 
105, leftBound, -289.09135, -148.63984, -0.385025 
105, leftBound, -289.28149, -148.17065, -0.383687 
105, leftBound, -289.47100, -147.70121, -0.382322 
105, leftBound, -289.65987, -147.23151, -0.380976 
105, leftBound, -289.84811, -146.76155, -0.379644 
105, leftBound, -290.03572, -146.29135, -0.378280 
105, leftBound, -290.22269, -145.82089, -0.376934 
105, leftBound, -290.40903, -145.35017, -0.375584 
105, leftBound, -290.59473, -144.87921, -0.374227 
105, leftBound, -290.77979, -144.40800, -0.372881 
105, leftBound, -290.96422, -143.93653, -0.371531 
105, leftBound, -291.14801, -143.46482, -0.370192 
105, leftBound, -291.33117, -142.99286, -0.368779 
105, leftBound, -291.51366, -142.52065, -0.364671 
105, leftBound, -291.69421, -142.04769, -0.359069 
105, leftBound, -291.87211, -141.57372, -0.353444 
105, leftBound, -292.04734, -141.09876, -0.347833 
105, leftBound, -292.21990, -140.62283, -0.342203 
105, leftBound, -292.38978, -140.14593, -0.336593 
105, leftBound, -292.55698, -139.66809, -0.330964 
105, leftBound, -292.72149, -139.18931, -0.325355 
105, leftBound, -292.88331, -138.70962, -0.319752 
105, leftBound, -293.04244, -138.22903, -0.314117 
105, leftBound, -293.19886, -137.74755, -0.308489 
105, leftBound, -293.35257, -137.26519, -0.302904 
105, leftBound, -293.50358, -136.78199, -0.297256 
105, leftBound, -293.65186, -136.29794, -0.291663 
105, leftBound, -293.79743, -135.81307, -0.291457 
105, leftBound, -293.94290, -135.32817, -0.317703 
105, leftBound, -294.10104, -134.84727, -0.349046 
105, leftBound, -294.27417, -134.37157, -0.380422 
105, leftBound, -294.46214, -133.90153, -0.411794 
105, leftBound, -294.66476, -133.43762, -0.443160 
105, leftBound, -294.88183, -132.98029, -0.474531 
105, leftBound, -295.11314, -132.52999, -0.505905 
105, leftBound, -295.35846, -132.08717, -0.537259 
105, leftBound, -295.61754, -131.65226, -0.568640 
105, leftBound, -295.89014, -131.22569, -0.600001 
105, leftBound, -296.17598, -130.80788, -0.631364 
105, leftBound, -296.47478, -130.39924, -0.662758 
105, leftBound, -296.78626, -130.00018, -0.694116 
105, leftBound, -297.11010, -129.61108, -0.725468 
105, leftBound, -297.44598, -129.23232, -0.753811 
