lanelet_id, bound, x, y
105, leftBound, -286.90475, -153.76072
105, leftBound, -287.11508, -153.30023
105, leftBound, -287.32294, -152.83862
105, leftBound, -287.52833, -152.37590
105, leftBound, -287.73123, -151.91209
105, leftBound, -287.93166, -151.44721
105, leftBound, -288.12959, -150.98125
105, leftBound, -288.32502, -150.51424
105, leftBound, -288.51795, -150.04619
105, leftBound, -288.70929, -149.57750
105, leftBound, -288.90057, -149.10877
105, leftBound, -289.09135, -148.63984
105, leftBound, -289.28149, -148.17065
105, leftBound, -289.47100, -147.70121
105, leftBound, -289.65987, -147.23151
105, leftBound, -289.84811, -146.76155
105, leftBound, -290.03572, -146.29135
105, leftBound, -290.22269, -145.82089
105, leftBound, -290.40903, -145.35017
105, leftBound, -290.59473, -144.87921
105, leftBound, -290.77979, -144.40800
105, leftBound, -290.96422, -143.93653
105, leftBound, -291.14801, -143.46482
105, leftBound, -291.33117, -142.99286
105, leftBound, -291.51366, -142.52065
105, leftBound, -291.69421, -142.04769
105, leftBound, -291.87211, -141.57372
105, leftBound, -292.04734, -141.09876
105, leftBound, -292.21990, -140.62283
105, leftBound, -292.38978, -140.14593
105, leftBound, -292.55698, -139.66809
105, leftBound, -292.72149, -139.18931
105, leftBound, -292.88331, -138.70962
105, leftBound, -293.04244, -138.22903
105, leftBound, -293.19886, -137.74755
105, leftBound, -293.35257, -137.26519
105, leftBound, -293.50358, -136.78199
105, leftBound, -293.65186, -136.29794
105, leftBound, -293.79743, -135.81307
105, leftBound, -293.94290, -135.32817
105, leftBound, -294.10104, -134.84727
105, leftBound, -294.27417, -134.37157
105, leftBound, -294.46214, -133.90153
105, leftBound, -294.66476, -133.43762
105, leftBound, -294.88183, -132.98029
105, leftBound, -295.11314, -132.52999
105, leftBound, -295.35846, -132.08717
105, leftBound, -295.61754, -131.65226
105, leftBound, -295.89014, -131.22569
105, leftBound, -296.17598, -130.80788
105, leftBound, -296.47478, -130.39924
105, leftBound, -296.78626, -130.00018
105, leftBound, -297.11010, -129.61108
105, leftBound, -297.44598, -129.23232
105, leftBound, -297.79246, -128.86323
105, leftBound, -298.14075, -128.49582
105, leftBound, -298.48905, -128.12842
105, leftBound, -298.83734, -127.76102
105, rightBound, -279.92793, -159.83099
105, rightBound, -280.16150, -159.38184
105, rightBound, -280.39507, -158.93269
105, rightBound, -280.62864, -158.48354
105, rightBound, -280.86222, -158.03439
105, rightBound, -281.09579, -157.58524
105, rightBound, -281.32936, -157.13609
105, rightBound, -281.56293, -156.68694
105, rightBound, -281.79613, -156.23850
105, rightBound, -282.01980, -155.80532
105, rightBound, -282.24114, -155.37096
105, rightBound, -282.46016, -154.93541
105, rightBound, -282.67684, -154.49870
105, rightBound, -282.89119, -154.06083
105, rightBound, -283.10318, -153.62182
105, rightBound, -283.31282, -153.18168
105, rightBound, -283.52010, -152.74043
105, rightBound, -283.72502, -152.29807
105, rightBound, -283.92757, -151.85463
105, rightBound, -284.12773, -151.41010
105, rightBound, -284.32552, -150.96451
105, rightBound, -284.52092, -150.51787
105, rightBound, -284.71392, -150.07019
105, rightBound, -284.90452, -149.62148
105, rightBound, -285.09272, -149.17175
105, rightBound, -285.27851, -148.72103
105, rightBound, -285.46886, -148.25478
105, rightBound, -285.65949, -147.78765
105, rightBound, -285.84848, -147.32310
105, rightBound, -286.03685, -146.85829
105, rightBound, -286.22459, -146.39322
105, rightBound, -286.41170, -145.92791
105, rightBound, -286.59819, -145.46234
105, rightBound, -286.78404, -144.99652
105, rightBound, -286.96927, -144.53045
105, rightBound, -287.15386, -144.06413
105, rightBound, -287.33783, -143.59756
105, rightBound, -287.52117, -143.13074
105, rightBound, -287.70388, -142.66368
105, rightBound, -287.88595, -142.19637
105, rightBound, -288.06740, -141.72881
105, rightBound, -288.24734, -141.26320
105, rightBound, -288.42089, -140.80861
105, rightBound, -288.59187, -140.35305
105, rightBound, -288.76029, -139.89653
105, rightBound, -288.92615, -139.43908
105, rightBound, -289.08944, -138.98071
105, rightBound, -289.25014, -138.52142
105, rightBound, -289.40827, -138.06124
105, rightBound, -289.56380, -137.60018
105, rightBound, -289.71675, -137.13825
105, rightBound, -289.86710, -136.67547
105, rightBound, -290.01484, -136.21185
105, rightBound, -290.15998, -135.74741
105, rightBound, -290.30251, -135.28216
105, rightBound, -290.44242, -134.81612
105, rightBound, -290.60130, -134.28717
105, rightBound, -290.79373, -133.70197
105, rightBound, -291.00441, -133.12310
105, rightBound, -291.23315, -132.55112
105, rightBound, -291.47971, -131.98660
105, rightBound, -291.74386, -131.43009
105, rightBound, -292.02533, -130.88214
105, rightBound, -292.32384, -130.34328
105, rightBound, -292.63912, -129.81405
105, rightBound, -292.97083, -129.29497
105, rightBound, -293.31867, -128.78655
105, rightBound, -293.68227, -128.28929
105, rightBound, -294.06130, -127.80368
105, rightBound, -294.45537, -127.33020
105, rightBound, -294.86409, -126.86930
105, rightBound, -295.25242, -126.45528
105, rightBound, -295.60071, -126.08788
105, rightBound, -295.94900, -125.72048
105, rightBound, -296.29730, -125.35308
110, leftBound, -298.48642, -115.02702
110, leftBound, -298.12253, -114.68321
110, leftBound, -297.75865, -114.33941
110, leftBound, -297.39477, -113.99560
110, leftBound, -297.03088, -113.65180
110, leftBound, -296.66700, -113.30800
110, leftBound, -296.30312, -112.96419
110, leftBound, -295.93923, -112.62039
110, leftBound, -295.57535, -112.27658
110, leftBound, -295.21146, -111.93278
110, leftBound, -294.84758, -111.58897
110, leftBound, -294.48370, -111.24517
110, leftBound, -294.11981, -110.90137
110, leftBound, -293.75593, -110.55756
110, leftBound, -293.39205, -110.21376
110, leftBound, -293.02816, -109.86995
110, leftBound, -292.66428, -109.52615
110, leftBound, -292.30040, -109.18234
110, leftBound, -291.93651, -108.83854
110, leftBound, -291.57263, -108.49473
110, leftBound, -291.20874, -108.15093
110, leftBound, -290.84486, -107.80713
110, leftBound, -290.48098, -107.46332
110, leftBound, -290.11709, -107.11952
110, leftBound, -289.75321, -106.77571
110, leftBound, -289.38933, -106.43191
110, leftBound, -289.02544, -106.08810
110, leftBound, -288.66156, -105.74429
110, leftBound, -288.29792, -105.40023
110, leftBound, -287.93462, -105.05581
110, leftBound, -287.57167, -104.71103
110, leftBound, -287.20906, -104.36588
110, leftBound, -286.84679, -104.02037
110, leftBound, -286.48488, -103.67449
110, leftBound, -286.12331, -103.32826
110, leftBound, -285.76208, -102.98166
110, leftBound, -285.40121, -102.63470
110, leftBound, -285.04068, -102.28738
110, leftBound, -284.68050, -101.93970
110, leftBound, -284.32066, -101.59166
110, leftBound, -283.96118, -101.24326
110, leftBound, -283.60204, -100.89449
110, leftBound, -283.24326, -100.54537
110, leftBound, -282.88482, -100.19589
110, leftBound, -282.52674, -99.846054
110, leftBound, -282.16900, -99.495857
110, leftBound, -281.81162, -99.145301
110, leftBound, -281.45458, -98.794389
110, leftBound, -281.09790, -98.443119
110, leftBound, -280.74157, -98.091491
110, leftBound, -280.38559, -97.739508
110, leftBound, -280.02997, -97.387168
110, leftBound, -279.67469, -97.034472
110, leftBound, -279.31978, -96.681421
110, leftBound, -278.96521, -96.328015
110, leftBound, -278.61100, -95.974253
110, leftBound, -278.25714, -95.620138
110, leftBound, -277.90364, -95.265668
110, leftBound, -277.55049, -94.910844
110, leftBound, -277.19770, -94.555667
110, leftBound, -276.84526, -94.200137
110, leftBound, -276.49318, -93.844254
110, leftBound, -276.14146, -93.488019
110, leftBound, -275.79009, -93.131432
110, leftBound, -275.43909, -92.774494
110, leftBound, -275.08843, -92.417204
110, leftBound, -274.73814, -92.059563
110, leftBound, -274.38820, -91.701571
110, leftBound, -274.03863, -91.343230
110, leftBound, -273.68940, -90.984549
110, leftBound, -273.34027, -90.625771
